full_text,sent_score
A lot peopl world struggl due corona sinc I musician best thing I offer en,1
itali prove pc sometim danger note covid case soar sadli idiot hug chines day meanwhil chines gov use propaganda corona chineseviru,-1
op amaz motorbik world youtub extendlockdown fridaymorn fridaythought fridaymotiv lockdown fridayfeel lockdown ramadan prabha rabindrajayanti corona covid supermoon MP,0
I gay I hate anyon base religion I bash right left wrong I love asca,-1
My mom rcvd new atm card activ card amp check workabl I withdrawn money accord mom first withdrawn money shud offer god but due corona templ close now angri amp unhappi I tizzi di indianmom,1
We know lot free time but definit utilis thing better spread rumour neit,1
instal aarogyasetuapp join fight corona coronawarrior stayhomeindia stayhomestayupda,0
sir true corona newupd letestnewa thmay chandigarh,1
here brilliant resourc I found support parent help child time there advic mani topic learn play manag stress promot famili harmoni amp covid corona schoolclosur,1
A cebrat known grandeur colour give come togeth one compromis year howev wha,1
rahulgandhi ji give suggest nation abl manag corona crisi better,1
what sona want corona,1
mca go counti assembl the idiot forgot moment corona town,-1
video show kill ahmaudarbrey georgia usa He jog shot perpetr father,0
onli thing rememb indian amp togeth hv defeat corona come fear amp bring econ,-1
wel getest op corona,0
learn free amp utilis lockdown period product click thank later lockdown fridaymotiv covid corona ahmedabad blog blogger blog motiv learn india,1
indian go home famili stayhom disinfect corona see soon,-1
stop sanit devic myglamm myglammcar wipeout clean healthi beauti makeup cor,1
Mr prime minist style view situat strong prime minist along,1
op luxuri car world extendlockdown fridaymorn fridaythought fridaymotiv lockdown fridayfeel ramadan prabha corona rabindrajayanti utubest,1
A celebr known grandeur colour give come togeth one compromis year howev w,1
while april peopl still accept massiv restrict numer relax may what import know sportsman tourist footbal fan click inform corona restrict germani newsd,1
We sent request letter hon ble delhi high court suspend interim final mainten order month,1
who billgat thi question mere academ becom real question,-1
who billgat thi question mere academ becom real question begin realiz gate unimagin wealth use gain control everi corner public health covid corona pandem,1
I feel like life fall apart I control corona,1
punjab govt must also It late conduct exam the specif period pass there fault student corona natur disast,-1
market tip how promot natur park corona crisi,-1
put hand togeth give big applaus sing corona dogri,1
the leadership qualiti man shown realli brilliant alway acknowledg everyon Am,1
senorita senorita avail platform share amp download pl low ybnl moneyheist nwaamer,1
senorita senorita avail platform share amp download pl low ybnl moneyheist nwaamerica worldwid zanku marlianrecord irokviralz trendingnow yeeye corona covid covid bgang star recordlabel cuppymus,1
indiasalutecoronawarrior harkaamdeshkenaam As nation continu fight corona pandem gallant soldier indianarmi k,0
rahul gandhi corona crisi relief materi sent wayanad relief materi sent amethi assur,1
break news corona viru outbreak gt what china ex militari scientist chen Hu say scandal statement breakingnew chinaviru coronaviru covid chineseviru covid coronavirusoutbreak covid corona deadtom,-1
espond india hasti decis open liquorshop I quot correspond publish discuss alcohol misus increas exist stress follow mani complic covid india corona,-1
when deleg ask help get word follow simpl step amp,-1
In latest book how Be buddhist millionair I interview anonym banker aka michael taylor read,1
US coronaviru death rise hour corona coronaviru covid covid coronavirusupd coronavirusupd unew,1
hrithik talk corona test stayhomesavel stayhom staysafestayhealthi hrithik covid,1
A chines scientist research corona viru US mysteri found dead surprisingli enough day ago predict could murder Is american conspiraci america extendlockdown corona covid china trump,-1
how import purchas data without inventori exceltot xcel talli exceltotallyimport tallyconvert tallysoftwar erpsoftwar tallyerp gst erpsolut account charteredaccount staysafestayhom tallyonmobil corona,0
brazil economi minist brazil risk econom collaps viru lockdown corona coronaviru covid covid coronavirusupd coronavirusupd unew,-1
trainaccid It shock news they affect corona face mani hardship die due train,-1
sir ji plz inform aye aye sir state could someth come top posit corona case even want habit make nois maharashtra keralamodel,-1
day today We north chennai sfc fan club member donat food To peopl who have been shelter,1
